Movies
Dune
12 Angry Men
13 Hours The secret soldiers of Benghazi
1917
3 idiots
99 Franc
A Scanner Darkly
A star is born
Amelie Poulain
Amy Tan: Unintended memoir
Athlete A
Black Hawk Down
Capernaum
Catch Me If You Can
Challenger the final flight
The Trial of the Chicago 7
Cloud Atlas
Coach Carter
Coco
"Crack: Cocaine, Corruption & Conspiracy"
Cuba and the Cameraman
Enron: The Smartest Guys in the Room
First Man
Ford vs Ferrari
Forest Gump
Full Metal Jacket
The Game Changers
Gattaca
Gone Girl
Good will hunting
Hacksaw Ridge
Hamilton
Hidden Figures
Inception
Inside the real narcos
Interstellar
Into the Wild
Iron Man
Jiro Dreams of Sushi
Juno
Jurassic Park
La La Land
Les miserables (2012)
Les misérables (2019)
Letters from Iwo Jima
Minari
Minority Report
Music and Lyrics
My Octopus Teacher
Nomadland
Parasite
Pearl Harbour
RBG
Restrepo
Saving Private Ryan
Secret
Shoplifters
Sky Ladder
Straight Outta Compton
Tampopo
Taste of China
A Taxi Driver
The Artist
The Big Short
The Dark Knight
The Florida Project
The Hurt Locker
The Imitation game
Joker
The Man who knew Infinity
The Martian
The Matrix
The Pianist
The Schindler's List
The Truman Show
Ip Man (2008)
Chasing the dragon
The piano in the factory
Farewell my concubine
The Outpost
A sun
The breadwinner
Osama
Tiong Bahru Social Club
I lost my body
Black Coal Thin Ice
24 City
Silenced
Eternal Sunshine of the spotless mind
Shershaah
13 Hour
Bottle shock
1984
Shiva baby
Another round
